SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
missed,21400003,"OCT 28, 2014 - HOU @ LAL",A,W,18,2,2,611,8.0,0,0.9,21.9,3,"Price, Ronnie",101179,6.7,kostas papanikolaou,203123
made,21400123,"NOV 14, 2014 - ORL vs. MIL",H,W,16,5,3,3,0.0,1,1.5,18.9,2,"Parker, Jabari",203953,3.2,elfrid payton,203901
missed,21400200,"NOV 24, 2014 - POR @ PHI",A,W,10,2,1,453,17.9,0,0.8,24.7,3,"Carter-Williams, Michael",203487,5.7,wesley matthews,202083
made,21400840,"FEB 24, 2015 - OKC vs. IND",H,W,13,2,1,511,7.7,6,5.2,11.4,2,"Hill, Solomon",203524,2.2,russell westbrook,201566
missed,21400771,"FEB 08, 2015 - POR @ HOU",A,W,11,2,1,336,11.3,0,0.9,22.0,3,"Harden, James",201935,18.6,nicolas batum,201587
missed,21400748,"FEB 06, 2015 - ORL vs. LAL",H,W,6,11,3,453,16.6,0,0.7,22.4,3,"Black, Tarik",204028,6.9,tobias harris,202699
missed,21400109,"NOV 12, 2014 - DET @ WAS",A,L,-4,6,4,282,1.2,3,7.3,14.1,2,Nene,2403,2.6,kyle singler,202713
made,21400899,"MAR 04, 2015 - BKN vs. CHA",H,L,-24,5,2,666,14.7,5,4.3,7.7,2,"Roberts, Brian",203148,2.9,jarrett jack,101127
missed,21400695,"JAN 29, 2015 - CHI @ LAL",A,L,-5,11,4,673,11.0,1,2.9,19.4,2,"Ellington, Wayne",201961,4.5,jimmy butler,202710
missed,21400401,"DEC 21, 2014 - MEM @ CLE",A,L,-14,8,3,682,7.2,0,0.8,24.8,3,"Irving, Kyrie",202681,6.3,mike conley,201144
made,21400885,"MAR 02, 2015 - TOR @ PHI",A,W,11,5,2,110,17.3,7,7.3,9.5,2,"Canaan, Isaiah",203477,0.1,lou williams,101150
made,21400137,"NOV 15, 2014 - DAL vs. MIN",H,W,14,1,1,708,12.2,0,3.1,15.5,2,"Bennett, Anthony",203461,4.0,dirk nowtizski,1717
made,21400622,"JAN 19, 2015 - LAL @ PHX",A,L,-15,4,3,100,6.8,7,6.1,2.6,2,"Morris, Marcus",202694,1.2,carlos boozer,2430
missed,21400104,"NOV 11, 2014 - LAL @ MEM",A,L,-5,6,3,697,1.7,0,1.3,25.3,3,"Conley, Mike",201144,4.5,wesley johnson,202325
missed,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,5,3,463,21.6,0,0.8,3.5,2,"Pierce, Paul",1718,2.8,harrison barnes,203084
made,21400171,"NOV 20, 2014 - SAC vs. CHI",H,W,15,2,2,531,13.7,10,12.3,6.2,2,"Mirotic, Nikola",202703,4.9,derrick williams,202682
made,21400211,"NOV 26, 2014 - WAS @ CLE",A,L,-26,4,2,259,6.7,0,0.9,19.8,2,"Irving, Kyrie",202681,8.3,kris humphries,2743
missed,21400044,"NOV 03, 2014 - BKN vs. OKC",H,W,31,5,1,44,15.8,2,4.4,9.0,2,"Collison, Nick",2555,2.8,joe johnson,2207
made,21400334,"DEC 12, 2014 - CHA @ MEM",A,L,-6,8,3,109,13.1,1,2.6,21.5,2,"Udrih, Beno",2757,2.5,gary neal,202390
made,21400463,"DEC 29, 2014 - WAS @ HOU",A,W,1,7,3,391,13.7,0,1.0,4.5,2,"Ariza, Trevor",2772,2.1,paul pierce,1718
missed,21400034,"NOV 01, 2014 - HOU vs. BOS",H,W,14,5,2,345,8.8,5,7.4,17.6,2,"Bradley, Avery",202340,1.6,james harden,201935
missed,21400220,"NOV 26, 2014 - IND @ SAS",A,L,-6,2,1,630,2.9,1,0.7,25.7,3,"Diaw, Boris",2564,5.2,donald sloan,202388
missed,21400029,"NOV 01, 2014 - TOR @ ORL",A,W,13,4,2,202,20.5,0,0.0,12.9,2,"Vucevic, Nikola",202696,4.0,jonas valanciunas,202685
missed,21400143,"NOV 16, 2014 - MIL @ MIA",A,W,7,9,3,39,18.7,0,1.8,26.1,3,"Napier, Shabazz",203894,5.0,brandon knight,202688
made,21400303,"DEC 08, 2014 - BKN vs. CLE",H,L,-22,4,2,308,11.2,0,1.0,1.0,2,"Varejao, Anderson",2760,1.8,alan anderson,101187
made,21400367,"DEC 16, 2014 - DAL @ NYK",A,W,20,6,4,477,3.9,0,0.9,25.2,3,"Larkin, Shane",203499,5.6,devin harris,2734
