SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
1,-1,1,5,3,6.0,0,0.8,26.1,3,5.1,2066
1,1,-1,-9,13,0.0,8,5.8,1.2,2,4.8,2170
-1,1,1,15,9,6.7,0,0.9,22.6,3,8.5,2353
-1,-1,1,4,2,10.9,1,1.8,5.9,2,1.9,571
-1,1,-1,-10,1,5.3,0,0.9,24.0,3,6.5,89
-1,-1,1,12,4,3.2,0,0.7,8.6,2,2.9,2016
-1,-1,-1,-1,2,0.9,1,2.1,38.6,3,5.7,172
1,-1,1,13,6,9.6,0,1.6,26.0,3,5.1,143
-1,-1,-1,-9,2,11.0,1,1.2,18.3,2,5.3,526
-1,1,-1,-7,3,3.8,2,1.7,7.2,2,2.9,475
-1,1,1,10,10,13.9,11,10.2,24.7,3,3.0,1474
1,1,-1,-17,5,18.0,0,0.8,24.5,3,4.7,792
-1,1,1,2,6,7.0,3,2.5,15.4,2,2.3,1992
-1,-1,1,2,7,10.5,0,0.4,3.2,2,2.6,1692
1,-1,-1,-1,10,5.3,0,0.8,13.9,2,5.7,2069
1,-1,1,12,6,10.6,2,2.9,10.4,2,3.0,69
1,-1,1,43,8,17.3,9,6.5,9.5,2,5.3,924
-1,-1,1,9,11,0.0,6,4.6,18.3,2,2.2,1441
-1,-1,1,16,4,16.7,0,0.7,4.3,2,2.9,1983
-1,-1,-1,-11,5,11.4,2,4.0,5.8,2,2.2,1853
1,-1,-1,-11,5,10.7,4,4.5,12.8,2,2.9,959
-1,1,-1,-7,9,21.0,3,2.6,24.6,3,6.8,1483
-1,1,1,5,10,15.6,0,0.7,24.6,3,4.8,26
-1,1,-1,-5,5,10.2,4,3.4,22.3,3,6.0,1005
1,-1,1,11,11,3.7,1,2.2,5.2,2,2.0,2668
1,-1,-1,-6,3,12.3,2,2.8,17.3,2,3.6,1321
-1,1,1,18,7,6.4,2,2.5,24.9,3,4.0,2675
1,1,1,5,15,21.6,0,1.0,4.1,2,2.5,2265
-1,1,-1,-7,4,17.8,0,0.7,7.2,2,2.0,2848
-1,1,-1,-4,19,2.1,0,0.1,20.2,3,4.6,2519
-1,1,1,8,12,13.6,1,4.0,5.2,2,2.8,2013
1,1,-1,-1,1,8.5,0,0.6,4.4,2,2.5,522
1,1,-1,-22,17,6.3,3,5.9,3.3,2,0.2,2776
1,-1,1,9,13,12.2,0,0.8,5.0,2,2.9,1629
-1,-1,-1,-4,10,14.5,0,0.0,23.5,3,6.2,2460
-1,-1,1,25,3,7.2,4,6.1,7.8,2,3.3,435
-1,-1,-1,-14,15,2.7,7,6.6,5.1,2,1.2,2462
-1,-1,1,7,3,7.7,3,4.6,7.5,2,1.7,409
-1,-1,-1,-11,13,1.8,3,2.8,16.5,2,1.9,2556
-1,-1,1,7,12,13.8,8,8.7,1.8,2,3.2,2358
-1,-1,-1,-17,1,14.4,3,2.9,19.9,2,3.9,586
1,-1,1,20,1,11.7,0,1.1,24.6,3,4.2,539
-1,-1,-1,-1,4,0.0,0,0.0,4.4,2,0.7,721
-1,1,1,4,6,16.6,0,0.8,25.2,3,4.7,1404
1,1,-1,-8,3,18.8,0,0.9,24.9,3,4.3,1184
-1,-1,1,12,2,0.0,4,3.5,3.3,2,2.1,1
1,1,-1,-12,8,11.4,1,4.4,3.4,2,0.7,1823
1,-1,1,9,3,6.5,0,0.6,1.6,2,2.8,2294
1,-1,-1,-24,5,7.1,0,0.6,24.8,3,5.2,1037
-1,-1,-1,-15,4,11.0,1,0.9,24.8,3,6.8,420
1,1,-1,-4,3,7.7,1,3.2,18.4,2,4.0,1255
1,1,1,16,4,15.7,1,1.8,6.7,2,2.5,2286
-1,-1,-1,-11,4,6.9,13,13.5,3.3,2,0.4,1207
1,-1,-1,-9,4,10.3,17,13.9,1.8,2,0.6,1551
1,1,-1,-8,4,10.1,9,7.8,16.1,2,2.6,1156
-1,-1,1,27,1,0.0,1,1.5,34.8,3,6.6,1441
-1,-1,-1,-27,2,6.9,1,3.6,0.6,2,1.3,625
-1,1,1,14,4,13.0,8,8.0,2.7,2,0.4,901
-1,1,1,7,7,14.6,10,10.0,16.6,2,4.2,1860
-1,-1,1,13,1,10.8,10,11.9,6.3,2,1.9,186
1,1,-1,-21,4,11.7,2,3.3,17.0,2,5.5,829
1,-1,1,19,6,8.6,0,1.0,22.9,2,4.5,2568
1,1,1,2,3,14.8,0,1.2,4.3,2,2.5,1396
-1,1,1,1,7,2.9,2,2.6,8.0,2,1.9,2048
-1,1,-1,-12,1,9.9,1,1.4,23.1,3,4.6,230
1,-1,1,8,7,16.4,7,7.8,24.4,3,4.9,2718
-1,-1,-1,-24,10,10.5,0,1.0,25.1,3,4.8,1523
-1,-1,-1,-9,6,5.6,2,2.8,20.8,2,3.6,1858
-1,1,1,13,3,11.4,0,0.8,16.5,2,4.4,1066
1,1,1,11,2,14.7,2,2.6,6.0,2,2.7,1262
1,-1,1,7,8,24.0,0,1.1,1.7,2,0.9,2844
