SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
0,1,1,1,8,14.3,2,2.2,7.5,2,1.8,1915
0,-1,-1,-16,5,13.3,0,0.8,24.9,3,5.2,2836
0,1,-1,-10,8,8.0,1,2.0,4.7,2,2.1,804
0,-1,1,5,7,10.8,3,4.6,21.3,2,4.8,2790
1,-1,-1,-16,7,18.1,0,1.1,0.9,2,3.6,1327
0,1,-1,-15,4,9.2,2,2.3,6.2,2,2.5,284
0,1,1,6,3,0.0,0,1.0,21.5,2,4.3,540
1,1,-1,-9,2,9.7,0,0.9,20.6,2,4.9,1167
0,-1,1,5,4,7.0,0,0.8,23.9,3,5.4,1502
1,-1,-1,-2,6,15.0,12,9.1,7.2,2,5.0,1179
0,-1,-1,-7,13,12.8,1,3.2,20.8,2,2.9,1487
1,1,-1,-8,10,5.6,0,1.1,19.9,2,6.3,2062
1,1,-1,-11,4,19.5,0,4.7,3.8,2,2.3,321
0,1,-1,-6,11,13.2,8,6.6,8.5,2,2.2,1854
0,-1,1,20,1,12.9,0,0.9,21.2,2,3.7,644
1,-1,1,5,3,24.0,0,0.7,1.0,2,3.6,359
1,1,-1,-25,13,6.4,6,5.3,11.9,2,3.5,1681
0,-1,-1,-5,3,1.1,0,0.7,24.8,3,3.8,33
1,1,1,10,5,12.4,0,0.8,20.9,2,6.5,221
0,-1,-1,-15,6,7.5,2,6.7,6.8,2,3.9,2666
1,1,1,9,8,9.1,1,4.1,7.2,2,2.7,2442
0,1,1,8,13,8.0,3,3.9,7.6,2,2.5,1968
0,1,-1,-15,13,12.6,2,4.5,7.8,2,4.8,2604
0,1,1,9,6,0.0,8,6.9,5.8,2,0.4,907
0,-1,1,7,14,17.2,7,5.5,0.3,2,1.9,2725
0,1,1,2,1,11.3,1,1.4,5.6,2,3.4,2599
0,1,1,10,11,21.0,4,2.9,12.5,2,2.5,752
0,-1,-1,-13,12,8.8,3,6.0,12.8,2,3.1,2791
0,-1,1,9,6,20.0,4,5.0,8.9,2,4.4,1261
0,1,-1,-1,10,20.2,0,0.3,22.4,3,4.5,2386
1,-1,1,1,1,18.5,0,0.9,23.8,3,10.6,647
1,-1,1,6,2,13.3,0,1.0,13.6,2,3.7,2662
0,-1,1,14,5,17.8,0,1.0,3.1,2,3.7,789
1,1,1,25,1,9.8,1,1.2,2.7,2,2.7,1143
1,1,1,18,3,7.4,8,5.5,8.2,2,3.3,1318
0,-1,1,2,1,10.1,4,7.5,10.2,2,2.7,388
0,1,-1,-14,1,5.9,1,3.8,14.7,2,4.0,685
0,-1,1,5,6,3.7,4,5.2,2.0,2,1.9,40
0,-1,1,9,3,6.5,8,7.7,19.2,2,7.6,1194
1,-1,-1,-3,1,8.4,0,0.6,24.0,3,6.2,95
0,-1,1,14,8,19.1,5,5.5,24.4,3,2.1,783
0,1,1,24,5,8.6,0,1.0,25.0,3,5.8,1178
0,1,-1,-27,1,5.0,0,2.0,0.7,2,1.2,700
1,-1,1,2,2,14.6,0,2.4,13.3,2,2.7,475
1,1,-1,-22,1,8.6,3,5.0,16.5,2,10.2,255
1,-1,1,10,8,8.3,0,1.1,24.4,3,1.9,1807
1,1,-1,-8,10,13.6,3,3.4,1.3,2,2.6,1841
1,-1,1,5,1,5.4,0,0.8,25.6,3,6.2,78
0,-1,1,28,8,8.9,0,1.0,25.0,3,4.5,2193
1,-1,1,30,2,16.4,1,2.7,3.1,2,2.0,187
1,-1,-1,-3,3,16.3,2,2.0,16.2,2,3.7,255
0,1,-1,-15,14,7.0,0,0.7,24.6,3,1.8,2591
1,-1,1,5,6,12.2,0,0.8,22.4,3,4.4,807
1,1,1,7,6,0.4,0,1.2,2.2,2,2.2,764
0,1,-1,-22,1,11.6,3,3.0,13.1,2,3.6,1528
1,-1,1,1,2,10.0,0,0.8,20.4,2,5.9,1320
1,-1,1,5,4,6.8,4,5.8,20.1,2,4.2,1423
0,-1,-1,-17,8,8.0,0,1.1,26.6,3,5.0,2643
1,1,1,8,6,9.5,2,2.0,21.0,2,3.1,1226
1,-1,1,25,2,11.7,3,4.5,11.4,2,3.4,1293
1,-1,1,17,12,0.0,0,0.5,0.1,2,2.2,723
0,-1,1,16,5,16.4,2,2.0,24.0,3,5.5,854
1,-1,1,14,3,15.1,9,8.0,15.8,2,3.3,319
0,1,-1,-17,3,0.0,0,3.6,16.3,2,4.3,347
0,1,-1,-1,1,0.0,6,9.3,11.5,2,4.3,296
0,-1,-1,-3,6,17.2,0,1.3,26.0,3,7.4,2008
1,1,1,14,5,11.8,0,0.6,5.7,2,2.6,977
0,-1,1,20,1,8.9,0,0.8,24.1,3,11.0,1001
0,1,1,5,5,16.4,1,1.2,24.1,3,3.6,250
0,1,-1,-10,5,14.0,3,3.5,22.6,3,3.8,929
0,1,-1,-5,15,5.0,0,0.8,24.8,3,5.0,2649
1,1,1,12,15,10.0,0,0.4,3.4,2,4.4,1626
0,-1,1,13,5,17.6,0,0.9,22.2,3,5.1,2547
1,1,-1,-15,9,7.1,4,3.5,3.6,2,5.6,1835
1,1,1,4,18,9.0,1,3.5,9.7,2,2.1,2275
1,-1,1,16,6,21.6,1,3.5,5.8,2,4.6,2261
1,-1,1,9,4,10.5,0,0.5,2.8,2,3.7,404
0,-1,1,7,18,11.5,0,0.7,19.1,2,6.9,2279
0,-1,-1,-12,10,8.0,2,4.2,6.5,2,2.8,2262
1,-1,-1,-5,6,17.0,5,5.6,13.1,2,2.1,351
1,1,1,16,1,15.9,0,0.9,21.5,2,5.9,438
0,-1,1,18,8,10.1,0,0.8,22.9,3,5.1,1515
0,1,-1,-4,7,15.9,9,7.4,4.2,2,0.8,782
0,-1,-1,-7,6,5.0,0,1.1,23.4,3,4.0,1329
0,1,-1,-10,9,12.3,0,0.7,18.1,2,5.1,2382
1,1,-1,-11,8,15.8,0,1.0,22.0,3,14.8,2525
0,1,1,9,2,12.7,0,0.8,4.8,2,2.9,2014
1,-1,1,9,16,22.7,0,0.4,1.2,2,0.8,2360
0,1,-1,-9,1,0.0,1,1.5,14.2,2,2.0,1
0,-1,1,25,5,11.0,1,4.1,19.1,2,4.9,1292
0,1,1,3,10,13.8,9,7.3,18.9,2,3.5,2839
0,-1,1,14,7,12.2,0,0.6,0.8,2,3.1,2277
0,1,-1,-30,5,15.9,1,1.6,14.7,2,3.6,1547
0,1,1,7,7,9.8,0,0.7,22.9,3,9.0,2145
0,1,-1,-9,10,11.0,3,5.2,10.2,2,2.3,2290
0,1,1,3,7,6.0,0,0.6,25.8,3,5.4,1575
1,-1,-1,-5,2,5.7,0,2.9,1.4,2,0.2,1228
1,-1,1,31,1,10.6,16,14.3,14.8,2,4.8,669
0,-1,-1,-2,5,8.3,0,1.5,22.3,2,4.0,942
1,1,1,3,5,5.3,0,0.7,2.1,2,1.9,1907
1,-1,1,6,3,10.2,0,2.2,14.2,2,3.3,2801
0,1,-1,-19,4,15.9,8,7.4,18.1,2,2.9,1021
1,1,1,12,11,2.3,1,4.1,12.8,2,4.2,2599
0,1,1,6,5,14.8,10,8.3,5.2,2,4.3,1090
0,1,-1,-8,4,5.1,11,12.6,15.1,2,4.0,8
0,-1,-1,-14,4,11.2,1,1.2,1.3,2,0.0,1354
0,1,-1,-11,7,11.5,0,2.6,11.7,2,2.3,969
1,-1,-1,-2,11,20.2,1,0.9,4.4,2,2.3,1535
0,1,1,16,12,6.5,0,1.0,15.0,2,4.8,2429
1,-1,1,14,5,5.0,2,3.1,23.8,3,4.0,2647
0,1,1,5,9,18.2,0,0.3,2.8,2,4.8,1919
0,-1,-1,-2,3,10.2,0,0.7,22.2,3,6.2,1021
0,1,-1,-12,5,14.2,1,2.5,12.7,2,1.1,2716
0,1,1,8,8,0.0,2,2.2,23.1,3,4.7,2840
0,-1,-1,-5,19,11.0,15,12.4,15.5,2,5.2,2374
1,-1,1,13,3,17.4,8,5.8,17.2,2,6.6,1266
0,-1,-1,-12,9,14.0,0,1.0,23.7,3,4.1,1938
1,-1,-1,-4,3,22.0,0,1.1,2.8,2,0.6,1573
0,1,-1,-17,7,13.6,0,1.0,19.7,2,3.6,2122
1,1,-1,-17,3,10.1,0,0.6,3.0,2,3.4,1284
0,-1,1,8,10,23.9,0,0.8,5.5,2,5.5,1018
1,1,1,24,10,5.6,0,1.1,3.1,2,5.7,863
1,1,1,17,10,19.9,9,6.4,2.2,2,0.4,1658
1,1,1,4,20,3.5,3,5.4,3.2,2,2.1,3019
