SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
1,-1,1,14,11,7.0,1,1.8,23.1,3,1.6,2073
-1,1,1,2,6,24.0,0,1.1,2.6,2,4.0,1147
1,1,1,13,2,18.1,3,2.5,3.3,2,4.7,541
-1,1,-1,-20,1,0.0,11,10.6,23.1,3,3.2,2
-1,1,-1,-7,13,6.0,1,2.3,17.8,2,10.8,2503
1,1,1,10,8,14.1,12,9.4,1.2,2,1.5,1916
-1,1,-1,-1,4,6.3,0,1.0,24.7,3,4.4,2537
1,1,-1,-2,2,1.6,2,2.0,21.1,2,2.8,876
1,1,1,17,10,11.0,1,1.9,4.6,2,1.1,2527
1,-1,1,10,9,5.0,0,1.3,18.6,2,8.8,818
-1,-1,-1,-7,7,3.0,0,0.8,21.9,3,6.4,1750
-1,1,-1,-15,6,6.4,0,0.9,25.7,3,5.0,1945
-1,1,-1,-16,2,1.2,1,2.2,22.6,3,3.9,2287
-1,1,-1,-15,8,4.4,0,0.7,26.6,3,2.3,1527
1,-1,1,7,13,5.6,0,0.8,9.4,2,2.1,2479
-1,1,1,1,4,12.6,0,1.1,18.3,2,8.5,1113
-1,-1,1,4,20,9.0,2,6.4,22.6,3,2.8,2246
-1,-1,1,3,9,24.0,0,0.0,1.3,2,2.0,2487
-1,-1,1,12,5,10.5,2,3.0,20.8,2,5.0,2047
-1,-1,-1,-12,7,18.1,0,1.1,24.1,3,3.8,2071
-1,1,1,7,11,15.5,2,2.3,23.9,3,12.4,2498
-1,-1,-1,-4,4,5.6,0,0.7,24.7,3,6.0,782
1,-1,-1,-15,16,24.0,0,0.0,1.0,2,3.1,2085
-1,1,1,7,3,14.3,12,9.3,4.8,2,3.1,2711
-1,-1,-1,-18,1,17.3,1,1.0,17.8,2,5.8,461
-1,-1,-1,-2,4,24.0,0,0.8,4.5,2,4.0,295
1,1,1,2,12,18.5,5,5.3,18.8,2,4.3,1878
1,-1,1,6,3,19.5,5,4.9,3.5,2,1.7,497
1,-1,-1,-1,12,12.2,0,0.9,4.4,2,1.4,1980
1,-1,1,10,1,16.9,0,1.2,3.0,2,3.0,695
-1,-1,1,25,2,16.2,0,1.0,5.2,2,2.3,219
1,1,1,9,12,7.7,1,2.6,3.8,2,4.0,1774
1,1,1,6,3,11.2,0,1.2,2.7,2,3.2,130
-1,-1,-1,-9,5,7.3,9,7.6,4.5,2,1.6,114
-1,1,1,22,11,15.3,9,8.5,1.2,2,2.7,1548
1,1,-1,-6,12,1.4,2,3.0,11.8,2,6.0,1572
-1,1,-1,-6,14,7.2,2,4.7,5.5,2,1.7,2277
1,1,1,12,6,9.7,2,6.9,10.8,2,3.6,241
-1,1,-1,-15,4,9.8,2,3.1,13.1,2,4.9,391
-1,1,-1,-3,5,20.0,2,1.7,24.4,2,4.2,2729
-1,1,-1,-8,8,14.9,0,1.2,1.3,2,2.7,1962
1,-1,1,4,6,8.3,2,3.3,16.8,2,4.4,2100
-1,1,1,20,9,13.1,4,3.7,18.2,2,6.1,2829
1,-1,1,12,16,10.0,21,15.2,3.1,2,1.9,2713
1,1,-1,-17,7,0.0,0,0.0,1.2,2,3.0,1167
1,1,-1,-1,7,18.1,2,2.7,3.4,2,3.4,1749
-1,1,-1,-17,4,12.0,0,1.0,19.2,2,3.1,1472
-1,-1,1,7,1,11.5,3,4.5,19.1,2,2.8,23
1,1,1,4,3,14.7,0,0.9,25.9,3,6.2,891
-1,1,1,2,17,1.4,16,15.2,18.8,2,5.0,2171
-1,1,-1,-22,8,2.8,2,2.8,2.2,2,3.4,2618
-1,1,-1,-25,9,14.0,0,0.8,25.2,3,2.6,1791
1,-1,-1,-26,1,12.6,0,1.3,1.6,2,2.6,477
1,-1,-1,-12,10,14.4,0,0.8,1.2,2,4.5,1871
-1,1,-1,-13,7,4.0,0,0.8,24.1,3,7.2,2580
-1,-1,-1,-24,6,12.7,0,1.1,25.0,3,6.2,1788
-1,1,1,8,1,11.1,1,3.7,4.3,2,1.8,1290
1,-1,1,11,12,13.3,0,1.0,23.8,3,10.0,1534
-1,1,1,19,3,18.2,0,0.7,4.4,2,2.3,1110
1,1,1,11,6,9.0,4,4.0,4.1,2,2.5,118
-1,1,-1,-1,4,4.0,0,0.7,22.2,3,4.5,1649
-1,-1,1,5,2,5.7,1,1.8,16.9,2,3.2,572
1,-1,-1,-4,13,8.2,0,0.4,1.4,2,2.2,2346
1,-1,1,20,2,20.1,0,0.2,3.1,2,4.9,320
-1,1,-1,-3,7,7.3,3,4.1,4.2,2,1.9,2558
-1,1,1,4,15,0.0,0,0.8,4.1,2,0.8,1440
1,-1,1,11,5,12.0,0,1.1,24.3,3,4.7,1171
-1,-1,1,10,2,10.6,0,0.9,20.6,2,7.8,147
-1,-1,-1,-14,5,8.3,1,1.0,20.6,2,4.7,1696
1,1,-1,-9,7,18.0,0,1.4,4.9,2,0.8,872
1,1,1,6,7,9.0,2,5.7,12.6,2,1.7,1640
-1,-1,1,1,4,14.0,1,1.2,9.4,2,3.0,754
1,1,-1,-17,5,15.5,0,0.8,24.4,3,4.6,1393
1,1,-1,-7,5,7.1,1,2.1,3.0,2,1.1,127
1,1,-1,-25,2,13.7,0,1.0,19.9,2,6.0,542
1,-1,-1,-10,2,10.2,3,6.1,5.2,2,3.8,1347
1,-1,-1,-12,13,11.9,0,0.4,0.6,2,0.0,1569
-1,-1,1,4,1,14.8,0,1.1,24.0,2,11.5,1277
1,1,-1,-25,8,12.4,2,2.3,5.0,2,1.9,2036
-1,-1,-1,-7,3,9.9,0,0.7,22.8,3,4.6,382
1,-1,-1,-23,4,24.0,1,0.5,1.5,2,8.5,1036
1,1,-1,-19,10,11.8,1,2.1,15.0,2,5.3,1197
1,-1,1,16,7,18.6,0,0.9,4.5,2,3.4,901
1,1,-1,-2,9,21.2,2,2.2,2.2,2,8.3,871
-1,1,-1,-15,2,16.0,8,7.9,24.3,3,6.0,2368
-1,1,1,2,10,24.0,0,0.5,1.1,2,2.0,1013
-1,-1,1,37,3,12.8,2,1.8,24.0,3,5.0,918
1,1,-1,-11,4,19.5,0,4.7,3.8,2,2.3,321
1,-1,1,6,10,11.9,2,6.5,1.9,2,3.5,1548
-1,1,-1,-6,2,3.9,9,9.3,5.7,2,1.8,1238
-1,1,1,4,1,4.6,0,3.6,16.0,2,3.9,676
1,-1,1,16,3,18.1,8,6.3,3.5,2,3.8,1107
-1,-1,-1,-7,7,14.9,0,1.1,9.3,2,1.8,1079
-1,-1,1,23,1,13.2,2,2.0,18.5,2,4.1,707
-1,-1,1,6,12,18.6,8,5.5,19.2,2,5.2,1477
-1,-1,-1,-10,2,0.0,3,3.1,15.4,2,2.5,1217
1,1,-1,-2,5,15.3,0,1.1,18.0,2,4.6,2717
